epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2138.2,0.48993,0.30681,0.83116,0.78171,0.72155,0.7754,0.37865,1.11043,0.6833,1.04919,0.000990365,0.000990365,0.000990365
43,2188.7,0.476,0.30016,0.83061,0.84801,0.73409,0.81197,0.40945,1.08694,0.61887,1.04121,0.000973861,0.000973861,0.000973861
44,2239.4,0.47893,0.30235,0.82973,0.70547,0.7218,0.7364,0.39415,1.14445,0.65776,1.05324,0.000957358,0.000957358,0.000957358
45,2289.69,0.48293,0.30328,0.83162,0.77898,0.7379,0.80346,0.39859,1.18532,0.69969,1.063,0.000940855,0.000940855,0.000940855
46,2340.52,0.47401,0.2971,0.82976,0.71279,0.70747,0.75448,0.40858,1.13337,0.6649,1.03743,0.000924352,0.000924352,0.000924352
47,2391.61,0.46709,0.2933,0.82556,0.83464,0.7374,0.79838,0.44213,1.08151,0.6998,1.01771,0.000907848,0.000907848,0.000907848
48,2442.04,0.47644,0.29939,0.82881,0.7521,0.71954,0.74258,0.38618,1.14261,0.74256,1.04209,0.000891345,0.000891345,0.000891345
49,2492.24,0.46431,0.2916,0.82589,0.7452,0.79178,0.7903,0.41834,1.09615,0.60189,1.02247,0.000874842,0.000874842,0.000874842
50,2542.39,0.45739,0.29234,0.82634,0.77294,0.70459,0.79676,0.42665,1.06257,0.67704,1.022,0.000858338,0.000858338,0.000858338
51,2592.7,0.45687,0.28713,0.82519,0.79206,0.73957,0.77484,0.44755,1.0677,0.61639,1.01382,0.000841835,0.000841835,0.000841835
52,2642.81,0.46366,0.29012,0.8264,0.74803,0.72074,0.78478,0.43046,1.06603,0.6526,1.01987,0.000825332,0.000825332,0.000825332
53,2692.71,0.44955,0.28499,0.82348,0.84805,0.73158,0.80553,0.46664,1.06459,0.61362,1.07146,0.000808828,0.000808828,0.000808828
54,2743.43,0.45007,0.28076,0.82212,0.75394,0.73547,0.75541,0.42178,1.04198,0.6287,1.00891,0.000792325,0.000792325,0.000792325
55,2793.8,0.44495,0.27962,0.81917,0.70409,0.67333,0.71986,0.39426,1.05455,0.73056,1.01616,0.000775822,0.000775822,0.000775822
56,2845.94,0.45175,0.28196,0.82194,0.72739,0.7319,0.74687,0.41076,1.09651,0.64097,1.02619,0.000759318,0.000759318,0.000759318
57,2897.14,0.45132,0.28335,0.82271,0.76016,0.72015,0.74933,0.42744,1.05366,0.67136,1.01319,0.000742815,0.000742815,0.000742815
58,2947.94,0.43687,0.2766,0.82195,0.71865,0.66327,0.71386,0.3658,1.04866,0.71002,1.00155,0.000726312,0.000726312,0.000726312
59,2998.66,0.43883,0.276,0.82144,0.80137,0.71298,0.81113,0.47078,1.04918,0.67363,1.0063,0.000709809,0.000709809,0.000709809
60,3049.67,0.43539,0.27505,0.81945,0.81116,0.67496,0.75308,0.41259,1.01231,0.68551,0.99626,0.000693305,0.000693305,0.000693305
61,3100.63,0.43093,0.2725,0.81906,0.87134,0.70294,0.79773,0.44177,0.98169,0.6215,0.97878,0.000676802,0.000676802,0.000676802
62,3152.34,0.42419,0.26945,0.81904,0.76675,0.76476,0.80089,0.44252,1.00036,0.62071,0.99282,0.000660299,0.000660299,0.000660299
63,3204.21,0.42661,0.26804,0.81642,0.75249,0.70786,0.75649,0.44054,0.99434,0.63367,0.98968,0.000643795,0.000643795,0.000643795
64,3256.26,0.4218,0.26567,0.81579,0.74598,0.68438,0.76331,0.44723,0.99076,0.70459,0.99076,0.000627292,0.000627292,0.000627292
65,3307.83,0.42209,0.26506,0.81912,0.65577,0.76252,0.70718,0.40633,0.98456,0.71697,0.97592,0.000610789,0.000610789,0.000610789
66,3358.12,0.4098,0.26086,0.81438,0.79306,0.75418,0.80188,0.48632,0.96193,0.66765,0.95746,0.000594286,0.000594286,0.000594286
67,3408.62,0.41317,0.25993,0.81478,0.82864,0.57968,0.70708,0.43123,1.00079,0.71754,0.99307,0.000577782,0.000577782,0.000577782
68,3459.28,0.41078,0.25984,0.81535,0.86048,0.7128,0.82469,0.47741,1.01305,0.67153,0.99002,0.000561279,0.000561279,0.000561279
69,3510.18,0.41413,0.26122,0.81671,0.8354,0.78948,0.84154,0.47507,0.96948,0.62817,0.9766,0.000544776,0.000544776,0.000544776
70,3561.42,0.40769,0.25714,0.81433,0.8175,0.70717,0.78746,0.46606,0.95729,0.68696,0.97376,0.000528272,0.000528272,0.000528272
71,3612.47,0.40133,0.25291,0.81431,0.80837,0.7917,0.82491,0.4638,0.99304,0.62288,0.99032,0.000511769,0.000511769,0.000511769
72,3663.51,0.39912,0.25275,0.81349,0.78013,0.66843,0.76344,0.45229,0.96815,0.70188,0.96734,0.000495266,0.000495266,0.000495266
73,3714.3,0.39633,0.25325,0.81535,0.80043,0.68432,0.7597,0.43527,0.97226,0.70374,0.97184,0.000478762,0.000478762,0.000478762
74,3765.51,0.40223,0.25442,0.81467,0.80682,0.77242,0.78896,0.45376,0.95641,0.67766,0.96829,0.000462259,0.000462259,0.000462259
75,3816.77,0.38932,0.24707,0.81237,0.82838,0.66778,0.77379,0.46958,0.92855,0.6756,0.95158,0.000445756,0.000445756,0.000445756
76,3867.72,0.39213,0.24911,0.81149,0.82368,0.67572,0.75434,0.44993,0.95079,0.67889,0.9596,0.000429253,0.000429253,0.000429253
77,3918.57,0.38786,0.24634,0.81241,0.8388,0.63413,0.77157,0.48127,0.91418,0.75084,0.95194,0.000412749,0.000412749,0.000412749
78,3969.42,0.38372,0.24466,0.81169,0.80377,0.75286,0.81983,0.5028,0.94736,0.71248,0.97219,0.000396246,0.000396246,0.000396246
79,4020.82,0.38976,0.2469,0.8115,0.76136,0.66265,0.74161,0.46713,0.94153,0.65936,0.96862,0.000379743,0.000379743,0.000379743
80,4072.45,0.38731,0.24371,0.8111,0.76127,0.64109,0.72735,0.48348,0.92451,0.69871,0.95878,0.000363239,0.000363239,0.000363239
81,4123.88,0.37566,0.23911,0.80914,0.76926,0.69841,0.77591,0.48885,0.92533,0.62147,0.96286,0.000346736,0.000346736,0.000346736
82,4174.93,0.37674,0.24104,0.81004,0.77506,0.73079,0.80266,0.4842,0.95192,0.71563,0.96494,0.000330233,0.000330233,0.000330233
83,4225.65,0.37064,0.23549,0.80957,0.82688,0.66275,0.76001,0.46606,0.94711,0.68963,0.97406,0.000313729,0.000313729,0.000313729
84,4276.57,0.36812,0.23519,0.80888,0.76746,0.71304,0.76598,0.477,0.9232,0.66417,0.94729,0.000297226,0.000297226,0.000297226
85,4327.63,0.37023,0.23478,0.80929,0.83286,0.73158,0.81313,0.49984,0.91559,0.61638,0.95366,0.000280723,0.000280723,0.000280723
86,4378.91,0.36784,0.23424,0.80816,0.7893,0.71335,0.77938,0.49077,0.91353,0.64911,0.94683,0.00026422,0.00026422,0.00026422
87,4430.1,0.36224,0.22966,0.80819,0.90222,0.68838,0.84167,0.50631,0.85634,0.59952,0.92766,0.000247716,0.000247716,0.000247716
88,4481.22,0.3634,0.23132,0.80884,0.83289,0.67506,0.80073,0.49513,0.88478,0.68606,0.94468,0.000231213,0.000231213,0.000231213
89,4532.52,0.36119,0.22912,0.80851,0.92078,0.67474,0.81837,0.51346,0.87715,0.6589,0.93662,0.00021471,0.00021471,0.00021471
90,4583.43,0.35424,0.22675,0.80501,0.90472,0.66483,0.7749,0.50592,0.89063,0.66552,0.94461,0.000198206,0.000198206,0.000198206
